epoch,train_loss,train_acc,val_loss,val_acc
1,0.89704,0.699206,2.34894,0.277778
2,0.567845,0.819048,3.036721,0.240741
3,0.37756,0.88254,1.196215,0.577778
4,0.281198,0.91746,0.246004,0.944444
5,0.233626,0.929365,0.149736,0.97037
6,0.229434,0.92381,0.186318,0.92963
7,0.221379,0.933333,0.115043,0.966667
8,0.177428,0.945238,0.236358,0.903704
